P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D
104,109,1044.765,3.5,4.5,1,20,7.8
122,126,1216.44,4.5,5.8,1.3,20,7.8
223,226,2202.345,5.8,7.4,1.6,20,7.8
308,311,3036.195,7.4,9.3,1.9,20,7.8
376,381,3713.085,9.3,11.7,2.4,20,7.8
453,457,4463.55,11.7,14,2.3,20,7.8
76,78,755.37,3,4.9,1.9,30,9.6
125,129,1245.87,4.9,7.6,2.7,30,9.6
197,201,1952.19,7.6,10.8,3.2,30,9.6
264,267,2604.555,10.8,14.2,3.4,30,9.6
305,308,3006.765,14.2,18.4,4.2,30,9.6
433,437,4267.35,18.4,23.7,5.3,30,9.6
